助成金名,助成金コード,総額,開始日,終了日,状態
令和6年度研究開発助成金,R6-RD-001,5000000,2024-04-01,2025-03-31,in_progress
地域活性化支援助成金,R6-COM-002,3000000,2024-05-01,2025-02-28,in_progress
環境保全プロジェクト助成,R6-ENV-003,2500000,2024-06-01,2024-12-31,in_progress
教育支援助成金,R6-EDU-004,1800000,2024-04-15,2025-03-15,in_progress
医療研究助成金,R6-MED-005,7500000,2024-07-01,2025-06-30,in_progress
スタートアップ支援助成,R6-STP-006,4000000,2024-08-01,2025-01-31,in_progress
文化振興助成金,R6-CUL-007,1200000,2024-09-01,2025-08-31,in_progress
福祉事業助成金,R6-WEL-008,2800000,2024-04-01,2024-09-30,completed
IT革新助成金,R6-IT-009,6000000,2024-10-01,2025-09-30,in_progress
農業振興助成金,R6-AGR-010,3500000,2024-05-15,2025-05-14,in_progress
